B365Player1,B365Player2,Best of,Date,Player1Pts,Player1Rank,Player1,Player1Sets,Round,Series,Surface,Player2Pts,Player2Rank,Player2,Player2Sets,Winner
1.44,2.62,3,2014-02-10,856,55,Matosevic M.,0,1st Round,ATP250,Hard,655,81,Vesely J.,0,Vesely J.
2.5,1.5,3,2014-02-10,561,98,Russell M.,0,1st Round,ATP250,Hard,685,76,Przysiezny M.,0,Russell M.
2.0,1.72,3,2014-02-11,303,171,Kyrgios N.,0,1st Round,ATP250,Hard,549,102,Smyczek T.,0,Smyczek T.
1.44,2.62,3,2014-02-11,667,80,Karlovic I.,0,1st Round,ATP250,Hard,746,62,Ebden M.,0,Karlovic I.
2.4175,1.5600000000000003,3,2014-02-11,731,66,Gabashvili T.,0,1st Round,ATP250,Hard,761,59,Kukushkin M.,0,Kukushkin M.
1.53,2.37,3,2014-02-11,415,134,Baghdatis M.,0,1st Round,ATP250,Hard,365,150,Ram R.,0,Baghdatis M.
1.72,2.0,3,2014-02-11,552,101,Lacko L.,0,1st Round,ATP250,Hard,605,88,Becker B.,0,Becker B.
1.53,2.37,3,2014-02-11,617,85,Sock J.,0,1st Round,ATP250,Hard,714,71,Mannarino A.,0,Sock J.
1.36,3.0,3,2014-02-11,530,105,Goffin D.,0,1st Round,ATP250,Hard,394,141,Kuznetsov Al.,0,Kuznetsov Al.
1.44,2.62,3,2014-02-11,471,119,Harrison R.,0,1st Round,ATP250,Hard,219,223,Phau B.,0,Harrison R.
1.2,4.33,3,2014-02-12,845,56,Querrey S.,0,1st Round,ATP250,Hard,579,96,Bogomolov A.,0,Bogomolov A.
2.5,1.5,3,2014-02-12,524,106,Kudla D.,0,1st Round,ATP250,Hard,673,79,Young D.,0,Kudla D.
1.66,2.1,3,2014-02-12,549,102,Smyczek T.,0,2nd Round,ATP250,Hard,561,98,Russell M.,0,Russell M.
1.9,1.8,3,2014-02-12,617,85,Sock J.,0,2nd Round,ATP250,Hard,655,81,Vesely J.,0,Sock J.
1.44,2.62,3,2014-02-12,471,119,Harrison R.,0,2nd Round,ATP250,Hard,579,96,Bogomolov A.,0,Bogomolov A.
1.12,6.0,3,2014-02-13,1965,16,Nishikori K.,0,2nd Round,ATP250,Hard,605,88,Becker B.,0,Nishikori K.
1.44,2.62,3,2014-02-13,761,59,Kukushkin M.,0,2nd Round,ATP250,Hard,394,141,Kuznetsov Al.,0,Kuznetsov Al.
1.61,2.2,3,2014-02-13,860,54,Lu Y.H.,0,2nd Round,ATP250,Hard,524,106,Kudla D.,0,Lu Y.H.
2.62,1.44,3,2014-02-14,415,134,Baghdatis M.,0,2nd Round,ATP250,Hard,1020,40,Hewitt L.,0,Hewitt L.
2.0,1.72,3,2014-02-14,667,80,Karlovic I.,0,2nd Round,ATP250,Hard,1355,26,Lopez F.,0,Karlovic I.
8.0,01.08,3,2014-02-14,579,96,Bogomolov A.,0,Quarterfinals,ATP250,Hard,1965,16,Nishikori K.,0,Nishikori K.
4.33,1.2,3,2014-02-14,561,98,Russell M.,0,Quarterfinals,ATP250,Hard,1020,40,Hewitt L.,0,Russell M.
3.0,1.36,3,2014-02-14,394,141,Kuznetsov Al.,0,Quarterfinals,ATP250,Hard,860,54,Lu Y.H.,0,Lu Y.H.
1.5,2.5,3,2014-02-15,667,80,Karlovic I.,0,Quarterfinals,ATP250,Hard,617,85,Sock J.,0,Karlovic I.
6.0,1.12,3,2014-02-15,561,98,Russell M.,0,Semifinals,ATP250,Hard,1965,16,Nishikori K.,0,Nishikori K.
1.4,3.0,3,2014-02-16,1965,16,Nishikori K.,0,The Final,ATP250,Hard,667,80,Karlovic I.,0,Nishikori K.
1.36,3.0,3,2014-02-10,1145,33,Dodig I.,0,1st Round,ATP500,Hard,412,135,Mathieu P.H.,0,Mathieu P.H.
1.36,3.0,3,2014-02-10,380,147,Berrer M.,0,1st Round,ATP500,Hard,601,91,Huta Galung J.,0,Berrer M.
8.0,01.06,3,2014-02-10,1210,31,Seppi A.,0,1st Round,ATP500,Hard,4540,7,Berdych T.,0,Berdych T.
1.16,5.0,3,2014-02-10,2885,10,Tsonga J.W.,0,1st Round,ATP500,Hard,1245,30,Mayer F.,0,Tsonga J.W.
2.37,1.53,3,2014-02-10,601,90,Stakhovsky S.,0,1st Round,ATP500,Hard,1330,27,Kohlschreiber P.,0,Kohlschreiber P.
1.66,2.1,3,2014-02-11,1443,24,Gulbis E.,0,1st Round,ATP500,Hard,1010,41,Istomin D.,0,Gulbis E.
5.5,1.14,3,2014-02-11,906,50,Rosol L.,0,1st Round,ATP500,Hard,1085,37,Cilic M.,0,Cilic M.
2.37,1.53,3,2014-02-11,740,64,Sijsling I.,0,1st Round,ATP500,Hard,2100,15,Youzhny M.,0,Sijsling I.
3.75,1.25,3,2014-02-11,1314,28,Tursunov D.,0,1st Round,ATP500,Hard,1810,19,Dimitrov G.,0,Dimitrov G.
1.44,2.62,3,2014-02-11,1705,20,Janowicz J.,0,1st Round,ATP500,Hard,1020,39,Benneteau J.,0,Janowicz J.
